Round ID,Bet Amount,Total Win/Loss,Valid Bet Amt,Login Name
ugs-2213091016,1,-1,0,sss_yxl1118
ugs-2213091026,5,-5,0,sss_360996666
ugs-2213090986,5,-5,0,sss_yujingtao007
ugs-2213090929,1,-1,0,sss_yxl1118
ugs-2213090896,5,-5,0,sss_yujingtao007
ugs-2213090888,1,3.5,0,sss_maomao0319
ugs-2213090894,5,-5,0,sss_360996666
ugs-2213090844,1,-1,0,sss_yxl1118
ugs-2213090800,5,-5,0,sss_yujingtao007
ugs-2213090802,20,-20,0,sss_rzz8888
ugs-2213090764,1,-1,0,sss_yxl1118
ugs-2213090757,5,-5,0,sss_360996666
ugs-2213090756,1,-1,0,sss_maomao0319
ugs-2213090706,5,-5,0,sss_yujingtao007
ugs-2213090674,20,-20,0,sss_rzz8888
ugs-2213090647,1,-1,0,sss_yxl1118
ugs-2213090635,5,-5,0,sss_360996666
ugs-2213090633,1,-1,0,sss_maomao0319
ugs-2213090568,5,-5,0,sss_yujingtao007
ugs-2213090583,1,13.7,0,sss_zong137
ugs-2213090525,1,-1,0,sss_yxl1118
ugs-2213090522,5,-5,0,sss_360996666
ugs-2213090509,1,-1,0,sss_maomao0319
ugs-2213090468,1,-1,0,sss_zong137
ugs-2213090428,1,-1,0,sss_yxl1118
ugs-2213090418,1,-1,0,sss_maomao0319
ugs-2213090417,5,-5,0,sss_360996666
ugs-2213090360,1,-1,0,sss_zong137
ugs-2213090373,10,-10,0,sss_hh032111
ugs-2213090342,5,10,0,sss_sb3hao
ugs-2213090288,1,1,0,sss_yxl1118
ugs-2213090305,1,-1,0,sss_maomao0319
ugs-2213090216,1,-1,0,sss_yxl1118
ugs-2213090164,1,-1,0,sss_maomao0319
ugs-2213090132,1,-1,0,sss_yxl1118
ugs-2213090084,5,-5,0,sss_sb3hao
ugs-2213090057,1,-1,0,sss_yxl1118
ugs-2213090047,1,-1,0,sss_maomao0319
ugs-2213090075,1,-1,0,sss_zong137
ugs-2213089970,1,-1,0,sss_yxl1118
ugs-2213089909,1,-1,0,sss_maomao0319
ugs-2213089864,20,-20,0,sss_rzz8888
ugs-2213089829,1,0,0,sss_yxl1118
ugs-2213089762,1,-1,0,sss_zong137
ugs-2213089753,1,-1,0,sss_maomao0319
ugs-2213089765,5,16,0,sss_sb3hao
ugs-2213089647,1,-1,0,sss_maomao0319
ugs-2213089634,5,-5,0,sss_sb3hao
ugs-2213089562,20,40,0,sss_rzz8888
ugs-2213089507,1,0.2,0,sss_maomao0319
ugs-2213089469,1,7,0,sss_yxl1118
ugs-2213089497,5,-5,0,sss_sb3hao
ugs-2213089443,20,-20,0,sss_rzz8888
ugs-2213089396,1,-1,0,sss_yxl1118
ugs-2213089312,1,-1,0,sss_yxl1118
ugs-2213089297,20,-20,0,sss_rzz8888
ugs-2213089253,1,-1,0,sss_zong137
ugs-2213089234,1,3.8,0,sss_maomao0319
ugs-2213089120,5,-5,0,sss_yxl1118
ugs-2213089083,20,-20,0,sss_rzz8888
ugs-2213089035,1,-0.1,0,sss_maomao0319
ugs-2213089007,1,-0.6,0,sss_zong137
ugs-2213088946,20,-20,0,sss_rzz8888
ugs-2213088816,1,-1,0,sss_zong137
ugs-2213088750,1,-1,0,sss_maomao0319
ugs-2213088764,20,-20,0,sss_rzz8888
ugs-2213088726,5,25,0,sss_yxl1118
ugs-2213088686,1,-1,0,sss_zong137
ugs-2213088622,5,23.5,0,sss_sb3hao
ugs-2213088600,5,-5,0,sss_yxl1118
ugs-2213088610,20,-20,0,sss_rzz8888
ugs-2213088501,1,-0.2,0,sss_zong137
ugs-2213088495,5,74.5,0,sss_360996666
ugs-2213088442,1,-1,0,sss_yxl1118
ugs-2213088360,5,-5,0,sss_sb3hao
ugs-2213088347,1,-1,0,sss_yxl1118
ugs-2213088305,1,-1,0,sss_zong137
ugs-2213088301,20,-20,0,sss_rzz8888
ugs-2213088257,1,-1,0,sss_yxl1118
ugs-2213088258,10,-8,0,sss_hh032111
ugs-2213088239,5,-5,0,sss_sb3hao
ugs-2213088178,1,-1,0,sss_yxl1118
ugs-2213088165,20,-20,0,sss_rzz8888
ugs-2213088195,5,195,0,sss_yujingtao007
ugs-2213088118,5,-5,0,sss_sb3hao
ugs-2213088123,5,-4,0,sss_360996666
ugs-2213088089,1,-1,0,sss_yxl1118
ugs-2213088110,5,-5,0,sss_yujingtao007
ugs-2213088007,1,-1,0,sss_yxl1118
ugs-2213088003,20,-20,0,sss_rzz8888
ugs-2213087983,5,-5,0,sss_sb3hao
ugs-2213088014,5,-5,0,sss_yujingtao007
ugs-2213087953,5,-5,0,sss_360996666
ugs-2213087922,1,-1,0,sss_yxl1118
ugs-2213087904,5,-5,0,sss_yujingtao007
ugs-2213087867,1,-1,0,sss_maomao0319
ugs-2213087861,20,-20,0,sss_rzz8888
ugs-2213087831,1,-1,0,sss_yxl1118
ugs-2213087764,5,-5,0,sss_yujingtao007
ugs-2213087773,1,-1,0,sss_maomao0319
ugs-2213087795,5,-5,0,sss_360996666
ugs-2213087745,1,-1,0,sss_yxl1118
ugs-2213087736,10,-10,0,sss_hh032111
ugs-2213087715,5,-5,0,sss_sb3hao
ugs-2213087690,1,-1,0,sss_maomao0319
ugs-2213087666,1,-1,0,sss_yxl1118
ugs-2213087665,20,-20,0,sss_rzz8888
ugs-2213087660,5,-5,0,sss_360996666
ugs-2213087582,1,-1,0,sss_yxl1118
ugs-2213087612,1,-1,0,sss_maomao0319
ugs-2213087600,5,-5,0,sss_yujingtao007
ugs-2213087497,1,-1,0,sss_yxl1118
ugs-2213087510,1,-1,0,sss_maomao0319
ugs-2213087520,5,-5,0,sss_360996666
ugs-2213087511,1,2.1,0,sss_zong137
ugs-2213087507,5,-5,0,sss_yujingtao007
ugs-2213087413,1,-1,0,sss_yxl1118
ugs-2213087389,5,-5,0,sss_yujingtao007
ugs-2213087399,1,-1,0,sss_maomao0319
ugs-2213087387,5,-5,0,sss_360996666
ugs-2213087403,1,-1,0,sss_zong137
ugs-2213087332,1,-1,0,sss_yxl1118
ugs-2213087339,5,7,0,sss_sb3hao
ugs-2213087300,5,-5,0,sss_yujingtao007
ugs-2213087298,1,-1,0,sss_maomao0319
ugs-2213087239,1,-1,0,sss_yxl1118
ugs-2213087267,20,40,0,sss_rzz8888
ugs-2213087198,5,-5,0,sss_yujingtao007
ugs-2213087189,1,-1,0,sss_maomao0319
ugs-2213087202,5,-5,0,sss_sb3hao
ugs-2213087138,1,-1,0,sss_yxl1118
ugs-2213087095,5,-5,0,sss_yujingtao007
ugs-2213087043,1,-1,0,sss_yxl1118
ugs-2213087055,1,-1,0,sss_maomao0319
ugs-2213087053,5,-5,0,sss_sb3hao
ugs-2213087056,1,-1,0,sss_zong137
ugs-2213086982,5,-5,0,sss_yujingtao007
ugs-2213086969,1,-1,0,sss_yxl1118
ugs-2213086878,5,-5,0,sss_sb3hao
ugs-2213086890,20,-20,0,sss_rzz8888
ugs-2213086931,1,-1,0,sss_maomao0319
ugs-2213086889,5,1,0,sss_360996666
ugs-2213086842,1,-1,0,sss_yxl1118
ugs-2213086861,1,-1,0,sss_zong137
ugs-2213086813,1,-1,0,sss_maomao0319
ugs-2213086704,5,-5,0,sss_360996666
ugs-2213086674,1,-1,0,sss_maomao0319
ugs-2213086683,20,-20,0,sss_rzz8888
ugs-2213086647,5,-5,0,sss_sb3hao
ugs-2213086568,1,-1,0,sss_maomao0319
ugs-2213086522,1,-1,0,sss_zong137
ugs-2213086542,5,-5,0,sss_360996666
ugs-2213086484,1,-1,0,sss_maomao0319
ugs-2213086507,20,-20,0,sss_rzz8888
ugs-2213086393,5,-5,0,sss_360996666
ugs-2213086385,1,-1,0,sss_maomao0319
ugs-2213086282,1,-1,0,sss_maomao0319
ugs-2213086237,1,-1,0,sss_zong137
ugs-2213086220,5,-5,0,sss_360996666
ugs-2213086183,1,-1,0,sss_maomao0319
ugs-2213086088,1,59,0,sss_yxl1118
ugs-2213086107,20,44,0,sss_rzz8888
ugs-2213086083,1,-1,0,sss_maomao0319
ugs-2213086070,5,-5,0,sss_360996666
ugs-2213086097,10,-10,0,sss_hh032111
ugs-2213086090,1,-1,0,sss_zong137
ugs-2213086104,5,95,0,sss_yujingtao007
ugs-2213085983,5,-5,0,sss_yujingtao007
ugs-2213085974,1,-1,0,sss_maomao0319
ugs-2213085969,1,-1,0,sss_zong137
ugs-2213085894,1,6,0,sss_yxl1118
ugs-2213085922,5,-5,0,sss_360996666
ugs-2213085874,5,-5,0,sss_yujingtao007
ugs-2213085854,1,-1,0,sss_maomao0319
ugs-2213085822,10,-10,0,sss_hh032111
ugs-2213085774,1,-1,0,sss_yxl1118
ugs-2213085742,1,-1,0,sss_maomao0319
ugs-2213085762,5,-5,0,sss_360996666
ugs-2213085755,1,0,0,sss_zong137
ugs-2213085772,5,-5,0,sss_yujingtao007
ugs-2213085719,20,-20,0,sss_rzz8888
ugs-2213085639,1,-1,0,sss_yxl1118
ugs-2213085624,1,-1,0,sss_maomao0319
ugs-2213085611,5,-5,0,sss_360996666
ugs-2213085595,10,-10,0,sss_hh032111
ugs-2213085628,1,-1,0,sss_zong137
ugs-2213085510,1,-1,0,sss_yxl1118
ugs-2213085531,1,-1,0,sss_maomao0319
ugs-2213085454,5,-5,0,sss_360996666
ugs-2213085446,20,-20,0,sss_rzz8888
ugs-2213085396,1,-1,0,sss_zong137
ugs-2213085321,5,-5,0,sss_360996666
ugs-2213085277,1,-1,0,sss_zong137
ugs-2213085174,1,3,0,sss_yxl1118
ugs-2213085165,10,-10,0,sss_hh032111
ugs-2213085157,1,-1,0,sss_zong137
ugs-2213085073,1,-1,0,sss_yxl1118
ugs-2213085102,20,-20,0,sss_rzz8888
ugs-2213085078,1,-1,0,sss_maomao0319
ugs-2213085033,5,65,0,sss_yujingtao007
ugs-2213084974,1,-1,0,sss_yxl1118
ugs-2213084968,1,-1,0,sss_maomao0319
ugs-2213084963,1,-1,0,sss_zong137
ugs-2213084911,5,-5,0,sss_yujingtao007
ugs-2213084910,20,-20,0,sss_rzz8888
ugs-2213084884,1,-1,0,sss_yxl1118
ugs-2213084861,1,-1,0,sss_maomao0319
ugs-2213084760,1,-1,0,sss_yxl1118
ugs-2213084780,1,-1,0,sss_maomao0319
ugs-2213084750,5,-5,0,sss_yujingtao007
ugs-2213084756,1,0.8,0,sss_zong137
ugs-2213084706,10,10,0,sss_hh032111
ugs-2213084675,1,-1,0,sss_yxl1118
ugs-2213084668,1,-1,0,sss_maomao0319
ugs-2213084625,1,-1,0,sss_zong137
ugs-2213084640,5,-5,0,sss_yujingtao007
ugs-2213084580,1,-1,0,sss_yxl1118
ugs-2213084486,5,-5,0,sss_yujingtao007
ugs-2213084531,20,20,0,sss_rzz8888
ugs-2213084535,1,-1,0,sss_maomao0319
ugs-2213084481,1,-1,0,sss_yxl1118
ugs-2213084429,1,-1,0,sss_maomao0319
ugs-2213084366,1,-1,0,sss_yxl1118
ugs-2213084358,20,-20,0,sss_rzz8888
ugs-2213084368,1,-1,0,sss_zong137
ugs-2213084352,5,120,0,sss_sb3hao
ugs-2213084304,1,-1,0,sss_maomao0319
ugs-2213084248,10,201,0,sss_15358755555
ugs-2213084218,1,6,0,sss_yxl1118
ugs-2213084196,1,-1,0,sss_maomao0319
ugs-2213084223,5,-5,0,sss_sb3hao
ugs-2213084188,1,0,0,sss_zong137
ugs-2213084174,20,-20,0,sss_rzz8888
ugs-2213084122,1,-1,0,sss_yxl1118
ugs-2213084099,10,-1,0,sss_15358755555
ugs-2213084075,1,-1,0,sss_maomao0319
ugs-2213084013,20,-20,0,sss_rzz8888
ugs-2213083996,1,-1,0,sss_yxl1118
ugs-2213083977,1,-1,0,sss_maomao0319
ugs-2213083983,5,-5,0,sss_sb3hao
ugs-2213083963,10,-10,0,sss_15358755555
ugs-2213083921,5,10,0,sss_yujingtao007
ugs-2213083858,1,-1,0,sss_yxl1118
ugs-2213083868,20,-20,0,sss_rzz8888
ugs-2213083870,1,-1,0,sss_maomao0319
ugs-2213083788,5,-5,0,sss_yujingtao007
ugs-2213083816,5,10.5,0,sss_360996666
ugs-2213083824,10,-10,0,sss_hh032111
ugs-2213083818,10,-10,0,sss_15358755555
ugs-2213083815,5,-5,0,sss_sb3hao
ugs-2213083762,1,-1,0,sss_yxl1118
ugs-2213083748,1,-1,0,sss_maomao0319
ugs-2213083648,1,-1,0,sss_yxl1118
ugs-2213083665,10,-10,0,sss_15358755555
ugs-2213083672,5,-5,0,sss_sb3hao
ugs-2213083668,5,-5,0,sss_yujingtao007
ugs-2213083595,1,-1,0,sss_maomao0319
ugs-2213083551,5,-5,0,sss_yujingtao007
ugs-2213083520,1,-1,0,sss_yxl1118
ugs-2213083491,10,-10,0,sss_15358755555
ugs-2213083495,20,-20,0,sss_rzz8888
ugs-2213083429,5,-5,0,sss_yujingtao007
ugs-2213083415,1,-1,0,sss_maomao0319
ugs-2213083396,1,3.8,0,sss_zong137
ugs-2213083383,10,-8,0,sss_hh032111
ugs-2213083356,1,1,0,sss_yxl1118
ugs-2213083341,20,-20,0,sss_rzz8888
ugs-2213083307,1,-1,0,sss_maomao0319
ugs-2213083331,10,-10,0,sss_15358755555
ugs-2213083282,5,-5,0,sss_yujingtao007
ugs-2213083301,5,-5,0,sss_sb3hao
ugs-2213083264,1,-1,0,sss_yxl1118
ugs-2213083244,1,-1,0,sss_zong137
ugs-2213083154,1,-1,0,sss_yxl1118
ugs-2213083203,1,-1,0,sss_maomao0319
ugs-2213083182,10,-10,0,sss_15358755555
ugs-2213083122,5,-5,0,sss_sb3hao
ugs-2213083132,20,-20,0,sss_rzz8888
ugs-2213083066,1,-1,0,sss_yxl1118
ugs-2213083109,1,-1,0,sss_maomao0319
ugs-2213083067,1,-1,0,sss_zong137
ugs-2213083036,10,-10,0,sss_15358755555
ugs-2213082978,1,-1,0,sss_yxl1118
ugs-2213082969,20,-20,0,sss_rzz8888
ugs-2213082995,1,-1,0,sss_maomao0319
ugs-2213082982,5,-5,0,sss_sb3hao
ugs-2213082949,1,-1,0,sss_zong137
ugs-2213082894,10,-8,0,sss_15358755555
ugs-2213082854,1,-1,0,sss_yxl1118
ugs-2213082883,1,-1,0,sss_maomao0319
ugs-2213082859,5,-5,0,sss_sb3hao
ugs-2213082761,10,-10,0,sss_15358755555
ugs-2213082786,1,-1,0,sss_maomao0319
ugs-2213082668,1,-1,0,sss_zong137
ugs-2213082660,5,45,0,sss_yujingtao007
ugs-2213082632,1,-1,0,sss_maomao0319
ugs-2213082639,10,-10,0,sss_15358755555
ugs-2213082576,5,-5,0,sss_yujingtao007
ugs-2213082542,1,-1,0,sss_maomao0319
ugs-2213082535,1,-1,0,sss_zong137
ugs-2213082485,1,5,0,sss_yxl1118
ugs-2213082497,10,-9,0,sss_15358755555
ugs-2213082446,5,-5,0,sss_yujingtao007
ugs-2213082449,1,-1,0,sss_maomao0319
ugs-2213082365,1,-1,0,sss_zong137
ugs-2213082345,1,-1,0,sss_yxl1118
ugs-2213082344,1,-1,0,sss_maomao0319
ugs-2213082336,5,24.5,0,sss_360996666
ugs-2213082325,10,-7,0,sss_15358755555
ugs-2213082338,5,-5,0,sss_yujingtao007
ugs-2213082231,1,-1,0,sss_maomao0319
ugs-2213082207,1,-1,0,sss_yxl1118
ugs-2213082178,5,5,0,sss_yujingtao007
ugs-2213082183,5,-5,0,sss_360996666
ugs-2213082176,10,34,0,sss_15358755555
ugs-2213082136,1,-1,0,sss_maomao0319
ugs-2213082086,1,-1,0,sss_yxl1118
ugs-2213082030,10,-8,0,sss_15358755555
ugs-2213082035,1,-1,0,sss_maomao0319
ugs-2213081963,1,-1,0,sss_yxl1118
ugs-2213081932,1,-1,0,sss_maomao0319
ugs-2213081890,10,-10,0,sss_15358755555
ugs-2213081865,1,-1,0,sss_yxl1118
ugs-2213081837,1,-1,0,sss_maomao0319
ugs-2213081765,1,-1,0,sss_yxl1118
ugs-2213081788,5,10,0,sss_yujingtao007
ugs-2213081751,10,-10,0,sss_15358755555
ugs-2213081747,1,-1,0,sss_maomao0319
ugs-2213081686,1,-1,0,sss_yxl1118
ugs-2213081639,1,-1,0,sss_maomao0319
ugs-2213081598,1,-1,0,sss_yxl1118
ugs-2213081615,10,-10,0,sss_15358755555
ugs-2213081565,1,2.8,0,sss_zong137
ugs-2213081528,5,21,0,sss_sb3hao
ugs-2213081516,1,-1,0,sss_yxl1118
ugs-2213081485,1,-1,0,sss_maomao0319
ugs-2213081476,10,-10,0,sss_15358755555
ugs-2213081423,1,-1,0,sss_yxl1118
ugs-2213081389,1,-1,0,sss_maomao0319
ugs-2213081388,1,-1,0,sss_zong137
ugs-2213081355,5,15,0,sss_yujingtao007
ugs-2213081331,1,-1,0,sss_yxl1118
ugs-2213081291,1,248.1,0,sss_550387170
ugs-2213081272,1,-1,0,sss_maomao0319
ugs-2213081242,5,-5,0,sss_yujingtao007
ugs-2213081206,1,-1,0,sss_yxl1118
ugs-2213081171,1,-1,0,sss_maomao0319
ugs-2213081105,1,-1,0,sss_yxl1118
ugs-2213081100,1,-1,0,sss_550387170
ugs-2213081096,5,-5,0,sss_yujingtao007
ugs-2213081067,1,-1,0,sss_maomao0319
ugs-2213081012,1,-1,0,sss_yxl1118
ugs-2213081013,5,18,0,sss_360996666
ugs-2213080997,1,0.2,0,sss_zong137
ugs-2213081005,5,-5,0,sss_yujingtao007
ugs-2213080933,1,-1,0,sss_550387170
ugs-2213080962,1,-1,0,sss_maomao0319
ugs-2213080924,1,-1,0,sss_yxl1118
ugs-2213080909,20,-20,0,sss_rzz8888
ugs-2213080901,5,-5,0,sss_yujingtao007
ugs-2213080864,1,-1,0,sss_zong137
ugs-2213080852,1,-1,0,sss_maomao0319
ugs-2213080820,1,-1,0,sss_yxl1118
ugs-2213080786,5,-5,0,sss_yujingtao007
ugs-2213080728,1,-1,0,sss_yxl1118
ugs-2213080710,1,-1,0,sss_maomao0319
ugs-2213080660,5,-5,0,sss_yujingtao007
ugs-2213080641,1,-1,0,sss_yxl1118
ugs-2213080558,5,-5,0,sss_yujingtao007
ugs-2213080565,1,-1,0,sss_maomao0319
ugs-2213080563,5,-4,0,sss_360996666
ugs-2213080581,1,0.4,0,sss_550387170
ugs-2213080543,5,27,0,sss_sb3hao
ugs-2213080510,1,-1,0,sss_yxl1118
ugs-2213080459,5,-5,0,sss_yujingtao007
ugs-2213080429,1,-1,0,sss_maomao0319
ugs-2213080433,5,-5,0,sss_360996666
ugs-2213080419,5,-5,0,sss_sb3hao
ugs-2213080401,1,-1,0,sss_550387170
ugs-2213080357,5,-5,0,sss_yujingtao007
ugs-2213080336,1,-1,0,sss_maomao0319
ugs-2213080343,1,-1,0,sss_zong137
ugs-2213080268,5,-5,0,sss_yujingtao007
ugs-2213080288,5,-5,0,sss_sb3hao
ugs-2213080234,1,-1,0,sss_maomao0319
ugs-2213080198,1,12,0,sss_yxl1118
ugs-2213080171,5,-5,0,sss_yujingtao007
ugs-2213080123,1,-1,0,sss_550387170
ugs-2213080157,5,-5,0,sss_sb3hao
ugs-2213080165,1,-1,0,sss_zong137
ugs-2213080102,1,-1,0,sss_yxl1118
ugs-2213080093,10,-10,0,sss_hh032111
ugs-2213080073,5,-5,0,sss_yujingtao007
ugs-2213080004,1,-1,0,sss_yxl1118
ugs-2213080008,20,1780,0,sss_rzz8888
ugs-2213080009,1,-1,0,sss_maomao0319
ugs-2213080013,5,-2.5,0,sss_360996666
ugs-2213080017,5,-5,0,sss_sb3hao
ugs-2213080001,1,-1,0,sss_zong137
ugs-2213079967,5,-5,0,sss_yujingtao007
ugs-2213079943,1,-1,0,sss_550387170
ugs-2213079900,1,-1,0,sss_yxl1118
ugs-2213079892,1,-1,0,sss_maomao0319
ugs-2213079817,1,-1,0,sss_yxl1118
ugs-2213079803,20,-20,0,sss_rzz8888
ugs-2213079835,5,-5,0,sss_360996666
ugs-2213079826,10,383,0,sss_15358755555
ugs-2213079841,1,-1,0,sss_zong137
ugs-2213079836,5,-5,0,sss_yujingtao007
ugs-2213079764,5,-5,0,sss_sb3hao
ugs-2213079716,1,-1,0,sss_yxl1118
ugs-2213079719,1,-1,0,sss_550387170
ugs-2213079714,1,-1,0,sss_zong137
ugs-2213079686,5,-5,0,sss_yujingtao007
ugs-2213079677,1,13.4,0,sss_maomao0319
ugs-2213079694,5,-5,0,sss_360996666
ugs-2213079662,10,-10,0,sss_15358755555
ugs-2213079591,1,-1,0,sss_yxl1118
ugs-2213079542,20,-20,0,sss_rzz8888
ugs-2213079595,1,-1,0,sss_zong137
ugs-2213079337,5,-5,0,sss_yujingtao007
ugs-2213078990,5,-3.5,0,sss_sb3hao
ugs-2213079363,1,-1,0,sss_maomao0319
ugs-2213079270,5,-5,0,sss_360996666
ugs-2213079224,10,-10,0,sss_hh032111
ugs-2213079052,10,-6,0,sss_15358755555
ugs-2213079038,1,-1,0,sss_550387170
ugs-2213078874,1,1,0,sss_yxl1118
ugs-2213078853,1,-1,0,sss_zong137
ugs-2213078700,20,-20,0,sss_rzz8888
ugs-2213078718,1,3.5,0,sss_maomao0319
ugs-2213078602,5,-5,0,sss_yujingtao007
ugs-2213078582,5,-3.5,0,sss_360996666
ugs-2213078519,1,-1,0,sss_zong137
ugs-2213078311,1,-1,0,sss_maomao0319
ugs-2213078272,5,-5,0,sss_yujingtao007
ugs-2213078252,5,15,0,sss_sb3hao
ugs-2213078260,5,-5,0,sss_360996666
ugs-2213078204,1,27,0,sss_yxl1118
ugs-2213078235,1,-1,0,sss_550387170
ugs-2213078166,5,-5,0,sss_yujingtao007
ugs-2213078121,5,-5,0,sss_sb3hao
ugs-2213078128,5,-5,0,sss_360996666
ugs-2213078066,5,-5,0,sss_yujingtao007
ugs-2213078049,1,0,0,sss_yxl1118
ugs-2213078031,1,0.5,0,sss_maomao0319
ugs-2213078055,1,-1,0,sss_550387170
ugs-2213077972,5,-5,0,sss_sb3hao
ugs-2213077975,5,-5,0,sss_360996666
ugs-2213077953,1,-1,0,sss_yxl1118
ugs-2213077940,5,-5,0,sss_yujingtao007
ugs-2213077608,1,-1,0,sss_yxl1118
ugs-2213077656,1,-1,0,sss_maomao0319
ugs-2213077574,5,-5,0,sss_360996666
ugs-2213077557,1,-1,0,sss_550387170
ugs-2213077603,5,-5,0,sss_yujingtao007
ugs-2213077559,5,-5,0,sss_sb3hao
ugs-2213077544,1,4.2,0,sss_zong137
ugs-2213077516,1,-1,0,sss_maomao0319
ugs-2213077493,5,-5,0,sss_yujingtao007
ugs-2213077422,1,-1,0,sss_yxl1118
ugs-2213077397,1,-1,0,sss_maomao0319
ugs-2213077419,5,-5,0,sss_360996666
ugs-2213077416,5,-5,0,sss_sb3hao
ugs-2213077320,1,-1,0,sss_yxl1118
ugs-2213077234,20,380,0,sss_rzz8888
ugs-2213077233,1,-1,0,sss_maomao0319
ugs-2213077247,1,-1,0,sss_zong137
ugs-2213077160,1,-1,0,sss_yxl1118
ugs-2213077223,1,-1,0,sss_550387170
ugs-2213077235,5,-5,0,sss_sb3hao
ugs-2213077091,1,-1,0,sss_zong137
ugs-2213077097,1,-1,0,sss_maomao0319
ugs-2213077113,10,-10,0,sss_hh032111
ugs-2213077114,5,-5,0,sss_sb3hao
ugs-2213077081,1,-1,0,sss_yxl1118
ugs-2213077052,10,305,0,sss_15358755555
ugs-2213077009,1,-1,0,sss_yxl1118
ugs-2213077038,5,45,0,sss_yujingtao007
ugs-2213076975,1,-1,0,sss_maomao0319
ugs-2213076937,5,-5,0,sss_yujingtao007
ugs-2213076931,10,-10,0,sss_15358755555
ugs-2213076912,1,-1,0,sss_yxl1118
ugs-2213076913,20,-20,0,sss_rzz8888
ugs-2213076890,1,-1,0,sss_maomao0319
ugs-2213076914,1,1.9,0,sss_550387170
ugs-2213076915,1,-1,0,sss_zong137
ugs-2213076837,5,-5,0,sss_sb3hao
ugs-2213076788,1,-1,0,sss_yxl1118
ugs-2213076804,1,-1,0,sss_maomao0319
ugs-2213076774,10,21,0,sss_15358755555
ugs-2213076697,1,-1,0,sss_yxl1118
ugs-2213076717,1,-1,0,sss_550387170
ugs-2213076726,1,-1,0,sss_zong137
ugs-2213076671,1,-1,0,sss_maomao0319
ugs-2213076600,1,-1,0,sss_yxl1118
ugs-2213076613,5,6,0,sss_360996666
ugs-2213076625,10,-10,0,sss_15358755555
ugs-2213076584,1,-1,0,sss_zong137
ugs-2213076552,5,-5,0,sss_sb3hao
ugs-2213076497,1,-1,0,sss_yxl1118
ugs-2213076478,10,-10,0,sss_15358755555
ugs-2213076467,1,-1,0,sss_maomao0319
ugs-2213076482,5,-5,0,sss_360996666
ugs-2213076435,20,-20,0,sss_rzz8888
ugs-2213076403,1,-1,0,sss_yxl1118
ugs-2213076397,1,1,0,sss_550387170
ugs-2213076398,5,-5,0,sss_sb3hao
ugs-2213076372,5,70,0,sss_yujingtao007
ugs-2213076318,1,-1,0,sss_zong137
ugs-2213076344,1,-1,0,sss_maomao0319
ugs-2213076334,5,-5,0,sss_360996666
ugs-2213076331,10,-10,0,sss_15358755555
ugs-2213076263,5,-5,0,sss_yujingtao007
ugs-2213076259,1,-1,0,sss_yxl1118
ugs-2213076255,20,-20,0,sss_rzz8888
ugs-2213076221,1,-1,0,sss_maomao0319
ugs-2213076231,10,-8,0,sss_hh032111
ugs-2213076257,5,-5,0,sss_sb3hao
ugs-2213076199,10,-10,0,sss_15358755555
ugs-2213076188,5,-5,0,sss_360996666
ugs-2213076137,5,-5,0,sss_yujingtao007
ugs-2213076142,1,-1,0,sss_maomao0319
ugs-2213076130,1,-1,0,sss_zong137
ugs-2213076045,10,-10,0,sss_15358755555
