Login Name,MAIN BALANCE
sss_cgrrgg,0
sss_pjj012300,0
sss_hui709941216,0
sss_gouxiaohui,0
sss_sunjianhua,0
sss_lelehihi88,0.01
sss_hylhylhh,0
sss_tuteng158,0
sss_wyc198520,0
sss_lw168809,57.47
sss_ljh777,0.13
sss_lyl1989,0
sss_gxg888jj,0
sss_halou5288,0
sss_zs8885888,0
sss_ry56tgh,0
sss_abc4353643,0
sss_a348701865,0
sss_xfb678,0
sss_ysynxx,0
sss_smx168123,0
sss_218866,0
sss_syhsyd,50
sss_xiaoyu0000,28
sss_fuguanwei,0
sss_fdse654f,0
sss_xql520,69.61
sss_yingyin,0
sss_stz6234,0
sss_a8712988,0
sss_dian314,0
sss_djli98,0
sss_wpj1424,28
sss_chenjian633,0
sss_liang157sl,0
sss_yyy007,8
sss_18796123988,0
sss_189178,0
sss_dalijie8855,0
sss_x18739113114,6
sss_xuchang1994,0
sss_qiao520cq,0
sss_304050ll,0
sss_xupdan88,0
sss_wyy7868yy,0
sss_sichuannan,0
sss_cf70012,0
sss_tanghu316,0
sss_y596ere,0
sss_mm9967,0
sss_wqqq08,0.16
sss_wp88889999,0
sss_lies098,0
sss_djj55678,0
sss_hyp112233,0
sss_bdlj256,0
sss_lu724567846,0
sss_md1977,0
sss_liy5858,0.01
sss_wangyong9999,0
sss_asd7816793,0
sss_uhxcvbm,0
sss_trbndn654,0
sss_zxj0423,0
sss_ghy0369,0.27
sss_hxf7758258,0
sss_zx689190,0
sss_fuyulu0712,0
sss_libo0074,0
sss_afs65sjd,0
sss_jun8899,0
sss_liaoqiuru,0
sss_luoruize1,0
sss_gaofei321,0
sss_zhangzq123,0
sss_alexcen,0.07
sss_zhang5800,0
sss_daizhiyong,0
sss_zezhi59,0
sss_zwl1986,28
sss_qudong8807,0
sss_fox990152806,50
sss_z732900,0
sss_hmx545768,0
sss_7iidae434,0
sss_yuedongsheng,0
sss_6555a4,0.01
sss_zy2526,0
sss_hy23018403,0
sss_djh1953,0.01
sss_yyy858585,0
sss_jx613244,0
sss_fdhfdhrefdg,0
sss_lyz492721158,0
sss_jun125378,0.01
sss_jcx111,0
sss_syz4566,0.2
sss_jq123123,0
sss_tpy1000,0
sss_bo1982,1.05
sss_laisix,0
sss_ygy0831,0
sss_love1987,0
sss_mm3410ti,0
sss_nb9888,0
sss_q250722,0
sss_hyj888,0
sss_wxj56725379,0
sss_agasfv454,0
sss_gm3333,0
sss_linxing777,0
sss_dfghj3889,0
sss_wuyeqi1016,0
sss_cxf123123,0.26
sss_lalashuo,0.2
sss_bhg4gad,0
sss_mzy7063,0
sss_qwe51888,0
sss_yqd1177,0
sss_18205176918,0
sss_taihe0088,0
sss_cui003,0
sss_ssws135,0.06
sss_etxv27,0
sss_jjkkdm,0
sss_pptt502,0
sss_hyh868,0.08
sss_zl113116,50
sss_lisi282,0
sss_yuan35692,0
sss_pt347shr,0
sss_dongccmm8,0
sss_huzi1999,0
sss_hhfeng1985,0
sss_smilew22612,0
sss_xianxian0121,0
sss_dljgjh,0
sss_lwh789ai,0
sss_xwyqssll,19.48
sss_ljc88802,0.25
sss_317028501,0.5
sss_qiuju998,0
sss_aaa23456,0.06
sss_616839407,0
sss_vip345678,2135.93
sss_63577907,0
sss_cyq3339,0
sss_yuanqing888,0
sss_goodday,0
sss_zxlawxl,0
sss_hf3275,0
sss_dsf9vasd,0
sss_xiali1963,0
sss_sn669sb,0
sss_w272364383,0
sss_fanjunhui,0
sss_zhanglei000,0
sss_fa19950814,0
sss_tangyunlong5,0
sss_dorothygan,0
sss_luorui520,1.59
sss_peachgc,0
sss_yejingfeng,0
sss_tbdu110628,0
sss_xiaogugu,0
sss_xiaoshui,0
sss_tye40bdchy,0
sss_chao5adc,0
sss_bdfyu489,0
sss_hgw123,0
sss_789lolo,0
sss_pzp1717,0.15
sss_eric7765,0.9
sss_yujh648,0
sss_1592566433,0
sss_lak666,0
sss_xyinhui,0
sss_xjian86,0
sss_l290490,0
sss_chenyong88,0
sss_zh78000,0
sss_zx77588,15.71
sss_shenjingxian123,0
sss_tangqq418,0
sss_wlh123,0
sss_5x45ddx,0
sss_lv888lv,0
sss_2572039,0.5
sss_teqw2654,380
sss_say182369,16.11
sss_tonycao,0.88
sss_wek375,0
sss_llyonh89,0
sss_zhoujiang.,0.98
sss_tonge202,0
sss_yingjia308,0
sss_fjg1009,0
sss_jiangyan7878,0
sss_efs3wef3fw,0
sss_kgekw00,0
sss_longkok,0
sss_like0325,0.5
sss_wb33221100,0
sss_jiangni8,0
sss_hsw8202,0
sss_buyaoguan,0
sss_zzz355,0
sss_yy520520yy,0
sss_txjdc1204,0
sss_zo6662001,0
sss_z13667607908,1.56
sss_q123www,0
sss_qq82451053,0
sss_wjx1002,0
sss_guiwang444,5
sss_f4f39ss8d,0
sss_bing2323,0
sss_xingmanna,0
sss_uykrsr66,0
sss_zj138449,0
sss_y142536,0
sss_gzj10932,0
sss_yaoyaodai11,0
sss_shirzz,0
sss_cz197343,0
sss_gu789789,0
sss_18857792191,0
sss_barbieyz,0
sss_kunwen123330,0.38
sss_240778294,4.8
sss_lq88lq,0
sss_wenyuhui,0
sss_wzv587,0
sss_93025923,0.56
sss_xzh960317,0
sss_babybaby123,0
sss_qqqwww100,0
sss_yl1965,0
sss_xy735605,0
sss_wyzybw,0
sss_tuo31388,7.24
sss_aslp0913,0
sss_xd54188,0
sss_hr7799,0
sss_zyl1987111,0
sss_r67cc7676,0
sss_kyq123456,0
sss_147258asd,0
sss_h55wddsdff,0
sss_lele2006,0.14
sss_117659866c,0.58
sss_xzmtsp,0
sss_bslb888,0
sss_rby001,0
sss_zhangn1978,0
sss_1988com,0
sss_badabada0401,33.16
sss_zhang01986,0
sss_18702379757m,0
sss_chenyuehua12,0
sss_xue88888q,0
sss_liuxiaoli1314,0
sss_wlm1230,0
sss_960730,0
sss_aba9087,0
sss_lg000222,0
sss_cs3345,0
sss_ghdfzgswzdf,0
sss_xiaohu8,0
sss_ppook888,0
sss_lilihong123,0.58
sss_lj110203,0
sss_zdd841214,0.52
sss_zhang98581,0.04
sss_asd008008,0.25
sss_weixiao88,0
sss_bcmfdf,0
sss_fdgg888,0
sss_huang00,1.78
sss_chengjingmin,0
sss_zhujinxin90,0
sss_zsx123321,0
sss_gyt0421,0
sss_y32ltt3,0
sss_enoughhaha,0
sss_xlm1718,0.46
sss_whqyt666,36
sss_yygg5555,0
sss_sstt625,0
sss_ljc235689,0
sss_lp930615,0
sss_nodagz,0
sss_tsf888,0
sss_zfl428,0
sss_luan123456,0
sss_eet433123,0
sss_a19781226,0
sss_xiaomi8888,0
sss_liujia111,0
sss_zhangzhijie,0.52
sss_aa0550,0
sss_heping58,0
sss_520xian,0
sss_zzl88888,0
sss_sdg8954i,0
sss_888peng888,0
sss_haihong8282,0
sss_xxh471080,0
sss_chinachina,0.8
sss_xianjin615,0
sss_truelibing,0
sss_walr55,0.12
sss_95798470,0
sss_tangyaru,0
sss_guo5feng5,0
sss_fjshaojie,0
sss_bbwaid,0
sss_lqiqi577,0
sss_cwh028xd,0
sss_slyz123,0
sss_fkajk497,0
sss_kkkkk2,28
sss_skgtc6zs,0
sss_zhench,0
sss_guqwkc5737,0
sss_guiziliu7777,0.09
sss_cyc1758,0
sss_yhy0728,0
sss_abc7522,0
sss_vushrt43n,0
sss_levicai,0
sss_dds1234,0
sss_fafa77587,0.44
sss_f3845109,29
sss_vfnsodid,0
sss_158191,0.59
sss_hsc25sv,0
sss_xiongzz,291.39
sss_luwukk82,0
sss_shayu9,0
sss_xiaouaehze3,0
sss_hsguesms,0
sss_waetghhsdf,0
sss_wqz3777,0
sss_jiajia140,0
sss_gang1188,0.82
sss_tagjingyang,0
sss_cxvdsc8ct,0
sss_kjnk569,0
sss_liwenyuan1,0
sss_au042154,0
sss_liuxianbin,0
sss_ywt555,288.01
sss_ly4444,0
sss_yk1191338777,0.03
sss_liyichen0001,0
sss_bobolaoshi,0
sss_zfq53535,0
sss_shksky,3.54
sss_kjl58158,0
sss_13863699930,0
sss_yaoyy131,0
sss_zhouyiming,0
sss_z15813835,0
sss_gl1986,0
sss_m88886a,0
sss_rouling,0
sss_aaaa1986,100
sss_ytg3fdhj,0
sss_hmy1230,0
sss_chenming571110,0
sss_lianbie73,0
sss_winboby,0
sss_xiaobao111,0.3
sss_picc269,0
sss_gxt888,0
sss_94980715,0
sss_cdfew008,0
sss_zaisi9900,0
sss_wan1993,0
sss_x1677939848,0.5
sss_xl436176,0
sss_cjl19930831,0
sss_fzx617617,0.2
sss_htrkhy,0
sss_yingzi168,0
sss_szccxt,0.6
sss_hxyyfc,0
sss_kyokyoku11,0
sss_xhylam,0
sss_h666888,0
sss_lu2659,0
sss_q8600152q,0
sss_tk551511,0
sss_zy0163,0
sss_lv6558897,0
sss_xiaojian5555,0
sss_leyinzhu,0.18
sss_lhj0516,2.88
sss_pghpgh888,97.53
sss_huang899,0
sss_xiaopeng001,0
sss_terryhou,4.74
sss_uoemo60,0
sss_lady1701234,0
sss_xrz778,0
sss_cej33d26,0
sss_zy1978,0
sss_jhf3gh123t,0
sss_818zhang,0
sss_shuaishuai,0
sss_yykk110,0
sss_kaioo2,0
sss_wyw810906,0
sss_sun55558888,0
sss_sj273068,0
sss_lhyx898583,88
sss_tangzheng,0
sss_yanshan8,0
sss_lauigd35,0
sss_xuqing8989,0
sss_xiaozhu118,0
sss_weini55si,0
sss_gaofeng0128,0
sss_iiivvsd,0
sss_hmx3311991,0
sss_jyb2311,16
sss_zhubing888,606.04
sss_chongsheng8,0
sss_szsz911,0
sss_1066344992,0
sss_a7qchu,0
sss_wudiaoni,0
sss_wuminhui2017,0
sss_laohe123,0
sss_tblp55555,0
sss_bai8989,0
sss_sudh69,0
sss_qaz77733,0
sss_bobofa,0
sss_li0908,0
sss_sl821227,0.62
sss_sdl890,2.4
sss_waq1217,0
sss_jiashen95,8
sss_chen088,109.71
sss_jgerytwer,0
sss_guxiang888,0.31
sss_hdrsak,0
sss_wu18515,0
sss_ww2763,0
sss_jackysheng,0
sss_bo1568cz,0
sss_plm22222,0
sss_qajerfjd,0
sss_lxy5688,0
sss_pw934ujg,0
sss_13857204212,0
sss_tyy5588,0
sss_chenglong521,0
sss_heme520,0
sss_fangsong,8
sss_qhfviwkv,0
sss_k8k9yyy,230.5
sss_wangxingxing,0
sss_ca640809,0
sss_qq147258369,145
sss_weiyideiai,0
sss_aa2719816,0
sss_doudou0707,0
sss_wx885588,0
sss_fggffc,0
sss_henz88,0
sss_lc198636,0
sss_q513123,0
sss_aqlx78,0
sss_aaaq28,0
sss_349894944,0.6
sss_kent888,0
sss_lixuanqu,0.39
sss_whf880318,0.01
sss_klboiue,0
sss_erfuujsho,0
sss_fyj34578,0
sss_yc3188,0
sss_tytykiko,0
sss_zx443580903,0
sss_bn53fdsc,0
sss_aa151151,0.04
sss_lantao123,0
sss_lailai111,0
sss_denghaixing,0
sss_ttdy668,0
sss_w818118,0.41
sss_a16896123,0
sss_lhxg1234,0
sss_62216800,0.5
sss_56433a,0
sss_cwz1206,0
sss_lixibin88,0
sss_bin85731,0
sss_love111888,0
sss_hsm1818,0
sss_mm88mm88,0
sss_sheva77,0.01
sss_nytier,0
sss_syuanb,0
sss_hblzdj515188,0
sss_sbvawere,0
sss_wmeng22,0
sss_llww8899,0.75
sss_lsr520,0
sss_450789869,0
sss_aa1990,0
sss_dingyan,0
sss_13891198128,0
sss_xinshtd,0
sss_qq215233,0
sss_r54tyj5e,0
sss_yrt4654d,0
sss_vv3355,0.74
sss_deng27659,0
sss_jxq8462xq,0
sss_gftudrthgt,0
sss_wangyb888,0
sss_feifsdk,0
sss_sibcxnagi,0
sss_bb9438,0
sss_chang1689,0
sss_dyd0000,0
sss_zhou789,0
sss_renjie0908,0
sss_yxp123,0.01
sss_a8381266,28
sss_79989344,0.73
sss_riritt,0
sss_shenhuanqiang,0
sss_mj0019762,0
sss_kang6194,0
sss_chenchenlian,0
sss_csdelphi,0
sss_aming88,0
sss_eygtdh,0
sss_guorong123,0
sss_vut117,0
sss_hongo1,0
sss_esayng,0
sss_tj84834d,0
sss_ywq32l,0
sss_83043118,0
sss_l514613134,0
sss_badboy5338,0
sss_lgj1977,0
sss_hgb333,0
sss_jhedsuheku,0
sss_laohu77,0
sss_sagbhjji,0
sss_6777zzz,0
sss_k877hdf,0
sss_sss988777,0
sss_emma2737,0
sss_zjndf5rfasd,0
sss_sjz20141003,0
sss_cy88188,0.64
sss_xiaoyufei,0
sss_bbyyzq520,0
sss_hyh1993,0.67
sss_jhetev,0
sss_zhangge12,0
sss_ll880311,0.55
sss_haiyon,0
sss_lvrong988,2.91
sss_zxc9176964,708.38
sss_huang664271,0
sss_mark121,0
sss_t18878489837,0
sss_guoguo945,0
sss_kai816,1.2
sss_6425489,0
sss_anyige1,0
sss_bc138814482,0
sss_zg1973,0
sss_zhb871120,0
sss_w1078989072,0.1
sss_qqmm88,0
sss_wangkehua,0
sss_jmq770418001,0
sss_wb520f,0
sss_kdh530181,0
sss_quan889,0
sss_ooobqrbb,0
sss_xiucai2012,0
sss_guanjun,0
sss_xiaolong8888,0
sss_lyh168,0
sss_daipang,0
sss_bjo9ah2,0
sss_hhxxii,0
sss_ealine9030,0
sss_1225weide,0
sss_zhezhe0208,0
sss_nana1601558935,0
sss_hfglh555,0
sss_hdj988,145.94
sss_mnb123,0
sss_wxq96320,0
sss_jersheqia,0.21
sss_zw16873,0.19
sss_29666qcm,0.3
sss_lwm288588,0
sss_liyan200118,0
sss_mm001mm,0
sss_lidam1016,0
sss_pay276,0.9
sss_tb1818,0
sss_wuya0115,0
sss_king181818,0.42
sss_luan773522,0
sss_zhiguo524,0
sss_zwl357612935,0
sss_18791468316,0
sss_lily879,0
sss_sgy1314,19
sss_6514558,0
sss_ahaw782,0
sss_yu0807,0.08
sss_ak992529,0
sss_sdsjdhwi88,0
sss_j134190,0
sss_liangyi119,0
sss_xxjpyltt,0.25
sss_1119071947,0.09
sss_ab9156,0
sss_jinxiang,0
sss_15648893000,0
sss_amazing9,0
sss_ma011yon,0
sss_huanyan9785,0
sss_5779463829,0
sss_lybb9125,0
sss_15841967333,0
sss_zhangli1234,0
sss_kluo642,0
sss_che138,0
sss_dgg7579,0
sss_548524,0
sss_gxlokmokm,0
sss_gyohtcls,0
sss_szh200585,0
sss_likissme,0
sss_ggjj1818,63.16
sss_cwtytj,0
sss_wei5788,8
sss_cfv5red,0
sss_yuu360cc,0
sss_qwein2008,0
sss_hihfii99,0
sss_xgwd520,0
sss_xiaoshan90,0.28
sss_q8217213,0
sss_hly888,0
sss_ycf6631,0
sss_zjdqy555,0
sss_hfhf6655,0
sss_vvyy888,0
sss_wangwj001,0
sss_zhaogj4156,0
sss_as940111,0
sss_ihgwiba,0
sss_yin0914,0
sss_xfe56yky,0
sss_wudali99,0
sss_xinniankuaile,0
sss_mzk1994,0
sss_ft456321,0
sss_huang1612,0
sss_yaojiewei332,0
sss_zhouping66,0
sss_xiaopi,0
sss_mmjuabvn,0
sss_rdt54e5,0
sss_kkkrrr,0
sss_migeve,0
sss_zd781021,0
sss_ll3396,0
sss_hulaige1,0
sss_dxl1983,0
sss_henha888,0
sss_m4a1_s,0
sss_jinhaijinpen,0
sss_fwm652151,0
sss_hh307202632,8
sss_15321431113,0
sss_oohj52,0
sss_njy0821,0
sss_w2477538999,0
sss_yangdaohua,0.5
sss_tt8866,0
sss_woxiaosan,0.04
sss_sf6782,0
sss_xuxuyyy,0
sss_mlgb95508,0
sss_zhangyuhua88,98
sss_dc6887010,0.4
sss_zjyk888,0.5
sss_xxy0131,0
sss_sd237807468,0
sss_liangshao,193.84
sss_ey3799,0
sss_ccm0415,0
sss_qianqian9,0
sss_534156193,0.2
sss_nandan4556,0
sss_cc8797ii,0
sss_qyf826,0
sss_yuan23497,0
sss_hfl1231,0
sss_cgdfgjkh,0
sss_xile5050,0.05
sss_bb5244355,0
sss_liangang22,0
sss_zly134,28
sss_chilli_jun,174.19
sss_dthyf356,0
sss_zhufeng789,0
sss_yycom777,0
sss_ruika4638,0
sss_sfdf34534,0
sss_taoyat,0.91
sss_dj2549,0
sss_guopeipei,0.05
sss_digazi,0
sss_ggftty,0
sss_5496aet,0
sss_shihe5123,0
sss_yger3io33,0
sss_qzwx008,0.2
sss_lyj1219,0
sss_xkrs830405,0.3
sss_601514,0
sss_chenqiuli,0
sss_lanlan988,0
sss_qinjie,0
sss_yangsuhua,0
sss_kexin867,0
sss_489621431,0
sss_67559755,0
sss_r521b2d5,0
sss_uijy4aty,0
sss_chuming182,0
sss_q590171,0
sss_shihy0,0
sss_caogop2,0
sss_lj516888,0
sss_zhuguofeng,0
sss_zz567567,0
sss_jiazhenqiao,0
sss_ly516516,8
sss_kvjhfdh,0
sss_fwx999888,0
sss_shliangl,0
sss_ff9sd941,0
sss_a891210,0
sss_abs512514,0
sss_ccgyu888,0
sss_lisa1998,0
sss_wangzimei,0
sss_zhouhongtao,0
sss_chen6789,2
sss_uitoep,0
sss_yangyang111,0.4
sss_hyp7310,0
sss_qq332641,0
sss_axiang88,0
sss_qiangge08666,0
sss_121330211,0
sss_jfgyyhdf,0
sss_gggvicke,0
sss_syd070820,0
sss_a8jie5168,0
sss_dengxm,0
sss_ccffpp,0
sss_yang19791,1
sss_qq631370306,0
sss_mengbing7,0
sss_dahe888,0
sss_a264606,0
sss_sudi11,0
sss_hx1899,0
sss_zy8623,0
sss_zm1986,0
sss_zhwj518,0
sss_bg4guj,2
sss_huzhitw,0
sss_lv1996,0
sss_ga2168,0.01
sss_tt78500,0
sss_ytgg589,0
sss_feilong13888,0
sss_ckxzgj9,0
sss_zhouminghui,0
sss_wy309002638,0
sss_xue819519,28
sss_445566,0
sss_yyyhhh8899,0
sss_sw880313,0
sss_oqoqyui,0
sss_jsyy001,0.29
sss_long1118,0
sss_guang88888,0
sss_y414022327,0
sss_meetion,0.12
sss_zq410410,100
sss_mm778899,6
sss_gu9898,0
sss_q65967719,0
sss_sdsf5688,0
sss_psw001,0
sss_miss668,0
sss_wangbiao88,0
sss_ruirui1119,0
sss_sherry1213,0
sss_xsj88805,0.15
sss_tanglijuan1,0
sss_lihao7410,0.73
sss_sunray231,0
sss_bao1234,0
sss_hanegxiaoyyy,0
sss_shiyun888,0
sss_xiu001,0.6
sss_zh1192414333,0
sss_ercxfzds,0
sss_dd1431,0
sss_buxq1564,0
sss_xixi818,0
sss_sundan,0.81
sss_nongcunyan,0
sss_cs99528,20
sss_www8www,0
sss_hzf585823,0
sss_dexxxss,0
sss_zcg119795892,0
sss_qpqjjskkn,0
sss_xfccc8888,0
sss_juanxiou7777,1.5
sss_shenmelong,0
sss_wangtao10086,0.2
sss_yf2008,201.2
sss_hh66789,0
sss_fuckyou00,0
sss_wangyun343,0
sss_huxihui521,0
sss_aa5310,0
sss_tt1984,0
sss_slj101403,0
sss_ly5888,0.5
sss_gqtang,0
sss_shenjingwy,0
sss_666wang,0
sss_mengqian1214,0
sss_xiao4076184,0
sss_sj303xx,0.96
sss_w198307l,0
sss_67201992,81.85
sss_tym210816,0
sss_weihao,0
sss_wang223344,9363.53
sss_dingwhaiia,0
sss_aoids521,0
sss_hufatian,0
sss_jiadjing29j,0
sss_hj9258,0
sss_laohu6985,0.69
sss_vipone001,28
sss_z9470586,0
sss_junhui99,0
sss_haiyang2010,0
sss_sss0708,0.53
sss_uncle88,0
sss_tengteng556,0
sss_jjj123,0
sss_nhpumf,0
sss_yc5201314,0
sss_lewn77945650,0
sss_yin3344,0
sss_qing4747ing,0
sss_999333,0
sss_gafeha988,0
sss_gwb333888,0
sss_olkl2323,0
sss_jy00766265,0
sss_mkincebhg,0
sss_tmqwinning,0
sss_jkmysmpj,0
sss_gujun123,0
sss_kvkv678,0
sss_fsfsashf,0
sss_yrdycty,0
sss_nihua1978,0
sss_yxd444555,12.9
sss_zjh123456,0.8
sss_einsan,0
sss_yzp123,0.26
sss_yxlrun123,0
sss_kug35uj,0
sss_xiaochufeng8,0
sss_xiaoxiaoren1,0
sss_bengtian99,0
sss_tayuyu64,0
sss_waitmoni,0
sss_kky988,0
sss_yu19860619,0.12
sss_wnq2011,0
sss_fanyibin0000,260.8
sss_oiwliiew,0
sss_fafa0512,0.48
sss_dys8888777,0
sss_278812798,0
sss_laowuwu,0
sss_hh555888,0
sss_q80096585,0
sss_hyl2777,0
sss_w13247342229,100
sss_muhfei,0
sss_mnbnch,0
sss_xijiego,0
sss_z18658864777,56
sss_wuwang,0
sss_hehuoren,0
sss_fff6789,0
sss_shengyun1,0
sss_songjian1122,0
sss_aqmx88cz,9.56
sss_xijianglang,40
sss_pxdin988,0.35
sss_lmsmlp9191,0
sss_fong839,0
sss_wjs3424,0
sss_47d3rtah,0
sss_haohaodenip,0
sss_xunxia999,0
sss_hayxgt,0
sss_daoji888,0
sss_a7735213,0
sss_gxppsy,0
sss_xh7991,0
sss_lixia888,0
sss_aa1168,0
sss_zzjj1234,0
sss_abk489s,0
sss_hgksf613,0
sss_hxr421826,0
sss_188jjj,0
sss_aabb653653,1.38
sss_wb7474,0
sss_fcx888,0
sss_714617488,0
sss_jianfang,0
sss_aodaz7,10
sss_dd083343,0
sss_yunhua741,0
sss_381425989,0.09
sss_nieke112233,0
sss_zpz999,0
sss_xu110022,0
sss_w13100040577,0
sss_che5859632,0
sss_qinjia924,0
sss_cczhouu,0
sss_gecuihong,20
sss_zlxianj888,0
sss_mqq888,0
sss_by43edfs,0
sss_bobingjun,0
sss_more0210,0
sss_sbl168,0
sss_wanghu0518,0
sss_zhaoyangcom,0
sss_xyl667,0
sss_hmx123,0
sss_q54631546,0
sss_abaobao30,0
sss_wuyy620521,0
sss_gjq8899,0
sss_xxx662,0
sss_q154207512,0
sss_wab668168,0
sss_xiaomeiyan,0
sss_denglan01,0
sss_lmt20140326,0
sss_18749755550,0.01
sss_beverlyhuang,0
sss_bestking888,0
sss_smjm1122,0
sss_tian1980,0
sss_lizs2008,0
sss_sunrui,0
sss_liang781509,0
sss_ddk688,0
sss_ywyw0303,146.5
sss_zhongpengfei,0
sss_zln5216,0
sss_lhc2102,0
sss_tiantian125,0
sss_zhaoxuan1123,0
sss_ling228,0
sss_bjl876,0
sss_hui7788,0
sss_liuxbing,0
sss_wwzzhj,0
sss_yuanfeng11,0
sss_lhh121,0
sss_gdha826,0
sss_a891878490,0.6
sss_aa2333,0
sss_cuifu111,0
sss_752879092,0
sss_a4509788,0
sss_ct1107,0
sss_guoxin706,0
sss_fschuany,0
sss_vlflnn,0
sss_fangjinyue,0
sss_qwqw168,0
sss_qbade110,0
sss_chengyulian,0
sss_taiyangfa,3
sss_lele873,0
sss_lucas7,0
sss_cwj989898,0
sss_keke0523,0
sss_tzyf1981,0
sss_paomo111,0.08
sss_309067895,0.4
sss_wxiansheng,0
sss_qx1314,0
sss_nfuexme,0
sss_wyb143266,0
sss_lijun6444,0
sss_hillchen,0
sss_maoshu134,0
sss_sal12591,459.5
sss_sunallred,0
sss_hdg53255,0
sss_zl774801213,0
sss_a7758521,0
sss_bankeyin,0
sss_mmm0004,0
sss_jianglibing888,0
sss_bin2000,0.34
sss_xyxy805,14
sss_gh6789,419.17
sss_brgihks,0
sss_qiansong,0
sss_h1823598,1.15
sss_laona429,0
sss_lixje3289,0
sss_lxiang5,0
sss_longyan0822,0
sss_bhyop56,0
sss_ccq000,0
sss_a33802097,0
sss_www92999cbx,10
sss_chy518,0
sss_dk1226,0.5
sss_aiwangxu,0
sss_rave1978,0.01
sss_ggzggu,0
sss_2328368690,0
sss_abc0029,0
sss_anathema15,0
sss_lyy8687,0
sss_zxh9939,0
sss_min518,0
sss_testy521,0
sss_xyzuga82,0
sss_jj0024,0
sss_tlahaog26,0
sss_csyinlong88,0
sss_fa686868,0
sss_xlq1964,0
sss_hoohlh,0
sss_fa9987,0
sss_sg5207744,0
sss_xiaojhu,0
sss_zhangdan520,0
sss_asd52041,50
sss_ueuu7we,0
sss_478543810,0
sss_dz6701,0
sss_xiaolei1032,0
sss_a311022,0
sss_aahwtys,0
sss_lgbdfw8183,313.13
sss_xiefajia,0
sss_woshiwujun520,0
sss_crtfcv,0
sss_cc...jiang,0
sss_grgrtw,0
sss_zang168,0
sss_sg440000,0
sss_ycbycb1314,0
sss_gaoy1234,0
sss_yinfafa168,0
sss_ttt900,0
sss_tangyiyiwen,0
sss_muhao888,0
sss_xiu4812,0
sss_fchari,0
sss_wx5128,0
sss_wfa84814,0
sss_15647429695,0
sss_sun3232,4008.05
sss_shengg123,0
sss_fm88888,0
sss_lxd9521,0
sss_ywf3211,0
sss_mingshao,0.84
sss_bishe111,0
sss_tu5201314,0
sss_jiangsiting,0
sss_fwj8t4wj,0
sss_zxl851029,0
sss_sjyisbestt,0
sss_yf925150119,0
sss_yhr123456,6.89
sss_wnagjinku,0
sss_wwaayy11,0
sss_tyc2215222,1
sss_dahao123,0.8
sss_yj5478,0
sss_tamade899,0
sss_zhm789789,0
sss_dalian99,0
sss_fanye198621,0
sss_aa3357125,0.28
sss_15698463965,0
sss_buyi4t,0
sss_xxx512,0
sss_yxz8888,0
sss_tangln,0
sss_cq2008999,0
sss_wet56r,0
sss_li887788,0
sss_jingjing520,0
sss_david0802,0.2
sss_chnlia43,0
sss_22001144,0
sss_tba131210,0
sss_fx8800,0
sss_h6av511,0
sss_jishiyan23,0
sss_wc169458,0
sss_l2006830,0
sss_zhenqian,0.02
sss_zhao778899,0
sss_qaz865854,0
sss_liu2202,0
sss_gm6567,0
sss_hwd6008,0
sss_asas001,0
sss_724676924,0
sss_yy95888,0
sss_jordan2323,0
sss_lgh82123,0
sss_mabo888,0
sss_ksmrhy,0
sss_pppppp7,0
sss_lyz5000,0
sss_zxc666888,0.01
